0,1,2,3,4,5
98,Влада Урошевиќ,Денес на блогот читаме македонска поезија и прекрасни македонски стихови.,Лоши соништа,"Лоши соништа – Влада Урошевиќ

Постои еден човек што сè знае за нас.
Постојат хартии во кои пишува што сме згрешиле.
Постојат компјутери што со наши имиња ги хранат.
Постојат пресуди што судовите веќе ги решиле.

Постојат фотографии на кои веќе нè нема.
Постои една жена што се преправа дека нè заборавила.
Постои една пратка за нас што ја зема
раката која не ги почитува поштенските правила.

Постојат луѓе што по нас на улица се вртат.
Постои пријател што без поздрав нè одминува.
Постојат скали што под непознати чекори чкртаат.
Постојат соништа што денот не ги расплинува.

Извор на сликата: Pinterest

",4
99,Јосип Коцев,Денес на блогот читаме прекрасна македонска поезија. Изборот падна на стиховите на Јосип Коцев и лично моја омилена од него.,Во овој свет,"Во овој свет – Јосип Коцев

Во овој свет на гратис гушкања,
промоции и 2+1 летувања,
купони, тикети и бинго добивки,
под ова небо со попуст на емоциии
беззаби насмевки на дар,
јас најскапо платив.

Во овој свет на
универзални декларации за човекови права,
полумртви сништа со
прострелни рани од улиците на Мемфис,
под овој свод на милион слободи,
јас најдолго робував.

Во овој свет со срца од марципан и чоколада,
чувства развеани ко знамиња на парада,
ликови од чија убавина можеш да ја
прецрташ скицата на рајот,
под ова небо со шуплива совршеност,
јас најмалку љубев.

Извор на сликата: We Heart It

",61
107,Блаже Конески,"Среда велат дека е среќен ден, а денес е прекрасен ден за споделување македонска поезија. Денес изборот падна на стиховите на Блаже Конески, имајќи предвид дека деновиве излезе поштенската марка со неговиот лик, па во негова чест споделуваме и негови стихови.",Кафез,"Кафез – Блаже Конески

Триесет години. И што е сторено?
Триесет скршени врчки.
Детето во мене е затворено
во еден кафез од брчки.

",9
101,Анте Поповски,"На денешен ден во 1931 година се родил еден од најголемите великани на македонската поезија, Анте Поповски! Во негова чест, денес читаме македонска поезија!",Мојот татко,"Мојот татко – Анте Поповски

Откако тој засекогаш излезе од својата куќа –
веднаш по него и куќата отпатува со него:
темелите, столбовите, скалите, покривот,
тргнаа по неговите траги и исчезнаа.
Куќата беше составена од неговиот глас,
од неговото чисто шамиче,
од неговиот поглед и неговиот ớд,
и јасно беше дека не можеше да се случи
тој да замине – куќата да остане!
Денес, само ние, неговите деца
можеме да го одгатнеме тоа чудо:
на среќниот мој татко куќата му беше
единствена црква во која тој се молеше
и целото наследство што ни го остави
е сјајот во неговите очи дури се крстеше
и ја глаголеше молитвата на трпезата.

He можеше да се случи:
ангелот да замине – црквата да остане…

",26
102,Петре М,Денес на блогот читаме прекрасни стихови од неповторливиот Петре М. Андреевски!,Таа,"Таа – Петре М. Андреевски

Таа дури и на Сонцето
му позајмува светлина
и затоа никогаш
и никаде не ја напушта.

Таа е природна појава
една единствена
стои, како рамноденица
меѓу светот и светлината,
меѓу телото и душата.

Ми иде да ѝ викнам:
дај ми го само телото,
а душата задржи си ја,
но откај неа слушам:
а зошто ти е мртво тело?!

(извор на сликата: herway.net)

",40
103,Лилјана Дирјан,Денес читаме прекрасни стихови од македонската поетеса Лилјана Дирјан!,Наеднаш срцето ми се стеснило,"Наеднаш срцето ми се стеснило – Лилјана Дирјан

Како да е гарсониера
Има сѐ, ама сето е некако смалено
надвиснале книгите по полиците,
плакарот е полн со непотребни алишта
речиси се како нови, си велам,
ама стеснети, ги издава некоја демоде варијанта
и тенџерињата се со по некоја кршеница
распар се филџаните, распар чиниите
сѐ е некако распар во ова срце
не е одамна варосано, паѓа бојата, паѓаат плочките
меѓу струјомерот и таваницата еден пајак
си направил мрежа
а ова срце еднаш имаше и лева и десна преткомора.

",59
104,Гане Тодоровски,На 11 мај 1929 година се родил легендарниот македонски поет и книжевник Гане Тодоровски! Во негова чест денес читаме негови стихови!,Нашинска (III),"Нашинска (III) – Гане Тодоровски

Сѐ тече и сѐ протечува
А ние одиме одиме одиме
Минејќи преку минливото
Одејќи низ недоодливото
А едно густо име
Со многу жилки од животек
Слоевито и збито и деветорно
Се лепи милениумски
Низ нашите изморени стапалки:
М а к е д о н ц и!
Ем-Ма-ем-ке-ем-дон-ем-ци
Ем-донци-маке-ем-кедон-маци
Ем-донма-цике-ем-цима-донке
Вртени превртувани извртувани
Делени разделувани раскинувани
На слогови на маки и на фили
На егеи на вардари на пирини
Ослепени еднооки видовити
Кучкини синови ѓаволско соило црно семе
Мијаци брсјаци копановци
Мрваци бандовци пуливаковци
Икари и прометеи топовско месо
Гробари на својот грев и очај
Крадачи на сопствената вера
По првпат Питу по вторпат Питу
Итромани дудуци лесноверци
Последни претплатници на слогата
Одиме се пореваме се исправаме
Се извишуваме подзастануваме продолжуваме
Преку кресни илиндени грамоси
Преку беаскули подрумкалиња черни џамии
Преку лепоглави сремски митровици
Преку голиотоци и сибири.

Одиме одиме одиме.

За да се доболи болливото
За да се догледа гледливото
За да се доосвои најсвоето.

Одиме одиме одиме.

Со препал и со уплав
Да не би да се испогубиме
Низ маглата на вековите —.

Одиме своеглаво одиме упорито
Одиме прекутрупа одиме гласовито
Преку бришаниот простор на постоењето
Одиме одејќи накај себеси.

Нашински препознавајќи се —
Нашински престигнувајќи се —
Нашински издржувајќи.



",32
105,Ацо Шопов,"На денешен ден во 1982 година починал големиот македонски поет, Ацо Шопов. Ацо Шопов е еден од безвременските македонски поети, чии стихови од песните: „Очи“, „Тишина“, „Небиднина“ и уште многу песни, и ден денес ги знаеме напамет, ги споделуваме и ги рецитираме. Во чест на годишнината од смртта на великанот Шопов, денес на блогот читаме македонска поезија и тоа токму од него.",Сам со својот пламен во градите,"Сам со својот пламен во градите – Ацо Шопов

Сам сум заробен во зелената одаја на дворот.
Нема никого: ни пријатели, ни блиски, ни непознати.
Сè е смирено. Само тишината ги дебне и ги лови
немирните шумови на лисјето и веднаш ги скаменува.

Ноќта се отвора благородно како цвет што разденува.
Пука некоја невидлива пупка на црвен трендафил
и од пукнатите лисје ѕирка пожар со црвено лице.
Пупката расте, се шири и сиот двор го ожарува,
но за миг црвениот трендафил исчезнува и пожарот згаснува.
А црвениот пламен го бара местото на моето срце
и таму полека во огромно пламено дрво израснува.

Сам сум заробен во зелената одаја на дворот.
Нема никого: ни пријатели, ни блиски, ни непознати.

Седам сам со својот пламен во градите.
Пламенот ме огрева посилно и од зборот на поетите
исчезнати во свемирот и синевината
барајќи го светот на убавината,
непозната и ненадмината.

Црвениот трендафил како крв се шири, истекува
а овој пламен во градите навек тука ќе векува.

(
„Дрво на ридот“, 1980
)



",13
106,Јован Котески,"Веќе сме средина на април, а и денес е петок, па затоа денес на блогот прочитајте ја оваа прекрасна песна на Јован Котески!",Април,"Април – Јован Котески

Љубена, заспи сред зелена трева
на мојот живот што може да роди
да здивне, згасне, потем да се крева
ко зелен пожар, млаз на брзи води.

И крена грутка земја црна, мека
допри ја нежно ко усни на грло,
ако е топла, знае ли да чека
далечни коњи и стада без трло.

Љубена, април да те љуби сака
ко ветен спомен, ко бел коњ што иде,
ко питом гулаб што слета на рака
со мене крвав во април да биде.

",63
108,Матеја Матевски,Денес на блогот читаме прекрасна македонска поезија и македонски стихови. Изборот падна на „Поле“ од Матеја Матевски!,Поле,"Поле – Матеја Матевски

Таго на тивките бои на копнежот
Зелените сенки на врбите
неосетно подвижни
на тихата река
на реката што лази
на реката успиена
се гушнуваат

Зошто ми е замрежен погледот
кога под нив ќе се насмевне песокот?
Кога стадото замечтано
од ливадата
зачудено ме погледне
а малото овчарче
ми мавне со раката

Таго на детството напуштено
Тоа ти ме викаш назад
во своите сонливи
длабочини

",58
109,Анте Поповски,Денес е убав ден за споделување прекрасни македонски стихови! Изборот падна на оваа прекрасна песна на Анте Поповски!,Расфрлани се моите мисли,"Расфрлани се моите мисли – Анте Поповски
Расфрлани се моите мисли денес
како развеани листови
од некое старо евангелие
и небото над нас смрачено и тешко
и светлина нема,
барем себеси
уште малку да си се погледавме.
И јата птици само надлетуваат и грачат
и сам си
зашто и бог – господ кренал раце од себеси
и заминал некаде бесповратно.
Кого да молам,
кој да ме поучи
како да се живее без себеси?

Расфрлани се моите мисли денес
како пожолтените листови од нашето
домашно евангелие.

(„Две тишини“)



",26
110,Петре М,"На средина од неделата сме, па на сите ни треба малку мотивација! Денес ги читаме прекрасните стихови на Петре М. Андреевски, од неговата легендарна стихозбирка „Дениција“.",Второ писмо,"„Второ писмо“ – Петре М. Андреевски

(Од циклусот Пет љубовни писма)

Паметувам:
тебе ти прилегаше сè, како и на силот и смилот
што ме потчинуваа однадвор, а ме храбреа однатре.
Ти беше мојот Исток и мојот Величетврток,
ти беше сè што му недостасуваше на светот,
ти беше и моето незавршено минато
и затоа јас те чував и прашував за тебе.

Молњата што минува низ тебе во мене се одразува
и јас живеам затоа што знам дека и ти живееш.
Јас сум твој роб за да ја прославам слободата
и тие летни жеги околу твојот појас
и тие ладни меани во твоите пазуви
и тие кавги на ветровите пред твоите поли
и моето време што беше во твоето.

Паметувам:
што читаше дури читаше и што – кога не читаше,
како легнуваше навечер, како се проѕеваше наутро
и како денот го продолжуваше со својата насмевка,
возбудлива ко квечерина во отворена калинка.
Во тебе беа границите на Целокупна Македонија
и јас дури те љубев, ја љубев сета татковина.

Ти стигнуваше пред своето тело, пред својот глас
во кого ме допираа недопрени води.
Ти беше мојот Тримир и мојот Светилеб
и моето прогонство беше за да бидат целосни
твојата волја, а мојата неволја.
На дното од морињата, на врвот од копната
ти секаде прва: и пред зракот и сред мракот.



",40
111,Блаже Конески,"Викендов падна снег и многумина му се израдуваа. Освен тоа имаме и вистински зимски температури, па во чест на зимата и нејзиниот полн сјај, денес на блогот ја читаме оваа „зимска“ песна од Блаже Конески!",Зимен ден,"Зимен ден – Блаже Конески

Бели се тие чорбаџиски дворје,
див костен во двор се наведува.
Од соба в соба шетка мека жена,
низ прозорец погледува.

Сонченце зимно! Јас во светлината
на зимен ден потонувам
и долго, долго за ноќ раскината,
за меко зборење сонувам.

",9
112,Лилјана Дирјан,"Денес е петок, денот кој го чекаме со душа! Денес повторно читаме прекрасни македонски стихови!",Оваа ноќ,"Оваа ноќ – Лилјана Дирјан

Сè ме напуштило оваа ноќ
си отишло некаде
си се спасило
Само Тој останал
на перницата ме
чека буден
ноќта со него се зголемува
не го објаснувам,
не го давам никому
ако во љубовна прегратка
го дочекаме утрото
ќе заминеме заедно
јас, Тагата, тој, Очајот



",59
113,Славко Јаневски,"На денешен ден во 1920 година се родил Славко Јаневски, еден од најзначајните македонски книжевници. Во чест на неговото раѓање денес на блогот читаме негови стихови.",Ивец,"Ивец – Славко Јаневски

Не спие во срцето на погачата
како тогаш и тогаш
белиот здив на црцорците.

Во нозете шантави некој ми ги испокла
играорците.

Не расне во виното зајдисончево
како тогаш и тогаш
есента истината.

Од очиве шашливи некој ми ја ископа
виделината.

Не танцувам на штит јас стробјак
како тогаш и тогаш
струплив и крвав здробеник.

Од кобни јуди подземници
ротите ми се заробени.

Коњи црцорците ги испасоа
мртви виното го излокаа
копја стробјакот го искитија.

Не сум веќе Ивец. Ни здравец. Ни живец.
Ни војвода на гладни.
Господи прости му на светов здивен
и дај му нога в задник.





",5
114,Јосип Коцев,"Се приближува крајот на годината, уште само еден ден. Денес е одличен ден за македонска поезија. Денес на блогот прочитајте ги овие прекрасни стихови од Јосип Коцев.",Зандана,"Зандана – Јосип Коцев

И сам си, и казнет си,
во твоето тело – зандана.
Понекогаш само
преку очите
препознаваш друг
затвореник сличен на тебе,
и душите мигум
ви се фаќаат за раце
низ решетките.

",61
115,Игор Исаковски,"На денешен ден во 2014 година, македонската поезија и книжевност го загубија неверојатниот Игор Исаковски кој навистина прерано нè напушти. Во негова чест, денес ги читаме неговите стихови..","Дожд, денеска","Дожд, денеска – Игор Исаковски

и денеска некој славеше роденден
и денеска некој беше погребан
денеска: бракови, убиства, бакнежи и колежи.
денеска. утре пак. вчера беше исто. денеска:
дожд врз моите самотни дланки. дожд врз градот
како врз циркуски шатор. дожд врз сите нас.
дожд врз нас, љубов. дожд врз сите повици
за враќање. дожд низ светлината што
ја грабаме алчно и со широко отворени
усти. дожд од ситни капки, дожд низ ветар.
врне врз поповите со фискални каси. врне
врз кловновските маски, врз свечените
тоалети, грозните накити. дожд, денеска.
врз камените вистини и врз ситните лаги.
денеска: твојот мирис во секоја моја пора.
не се прашувам како си се вовлекла.
ни кога ќе заминеш.
добро е додека врне,
добро е додека си тука.
денеска. додека врне.



",43
116,Блаже Конески,"На денешен ден, во 1993 година, починал Блаже Конески, еден од кодификаторите на современиот македонски литературен јазик и еден од најзначајните личносте во македонската книжевност. Во негова чест денес ги читаме неговите стихови од песната „Спомен по многу години“, која некако се чинеше најсоодветна за да се сподели на блогот.",Спомен по многу години,"Спомен по многу години – Блаже Конески

Имав можеби неполни дваесет години
кога напишав:
„така рикаше маката во мене
дека сум роден во смачкано племе.“
И досега,
по толку долго време,
ме следи истата таа мака,
и дури поголема,
така што дури можам,
сејач на глуво семе,
да го сменам малку зборот
и да речам:
„уште рика истата мака во мене
дека сум роден во смачкано племе“.

Но сепак, се надевам, дека не е туку така
што сум бил подложен на таков искус
и на таква една мака.



",9
117,Ацо Шопов,"Опасно се приближуваме кон зимата, се чувствува тоа по свежиот воздух и ладното време. Но, календарски сè уште сме есен, па затоа, денес една есенска песна на блогот. Изборот падна на „Лист“ од Ацо Шопов. Уживајте.",Лист,"Лист – Ацо Шопов

Се откина од гранката сам, полека и несетено
и остана во воздухот да лебдее така.
Мислејќи дека е жолта пеперуга, детено
пружи по него рака.
И не се измени ни со прелив мал
на есента божилото.
Само гранката задржа скриена жал,
жал за зеленилото.



",13
118,Кочо Рацин,"На денешен ден, во 1939 година, во Самобор, во близина на Загреб, објавена е стихозбирката „Бели мугри“ на Кочо Рацин. „Бели мугри“ е една од најзначајните стихозбирки и дела во современата македонска книжевност, која длабоко навлегува во прашањата за тешкиот живот на македонскиот работник, како и желбата за подобар и поправеден свет.",Печал,"„Бели мугри“ е третата стихозбирка објавена на македонски јазик, по „Народни бигори“ и „Огинот“ на Венко Марковски во 1938 година.

Во чест на издавањето на оваа стихозбирка, денес на блогот читаме стихови токму од „Бели мугри“.



Печал – Кочо Рацин

Нема ли живот, нема ли
љубов за живот голема
љубов за живот човечна
у виа гради аргатски?

Нема ли срце, нема ли
срце — на срца срцето,
срце — ширини широко
срце — длбини длбоко —
цел свет да збере, па да е
за виа гради малечко?

Нема ли бел ден, нема ли
ден да е над деновите,
ден да е на аргатите —
ден слнце вишен високо
ден — море ширен широко,
слнце да запре, да стои
и времето зачудено:

срцето пука обрачи
и плиска знаме алово,
срцето што се отвара
и шири ширно широко —
целиот свет да загрне!



",23
119,Матеја Матевски,Денес е прекрасен ден за споделување македонска поезија. Денес на ред е песна од Матеја Матевски!,Прва ноќ,"Прва ноќ – Матеја Матевски

Влажен клик на усните
и немо провирање
на плодот од едно
постоење ново

Гранките се пореваат
скршени во своите сенки
округли раце од месечина
и рамена од облаци.

Гудало од слатки нерви
се скокотка и се игра
со некаква виолина.

Шарено око на тишината
ноќ
и долго зборлесто
молчење.



",58
120,Блаже Конески,Да ја почнеме оваа недела со споделување прекрасна македонска поезија! Денес изборот падна на оваа песна од Блаже Конески!,Есенско утро,"Есенско утро – Блаже Конески

Урнати селски гробишта,
ни крст – само влажни камари,
и над нив круша горничка –
на ветрот распната –
плаче со сите тајни дамари.
Темно и кално.
По штура скрка магли газат.
Зад нив
цапалки
вода наполнети
тунат во црвеницата.



",9
124,Катица Ќулавкова,Денес на блогот читаме прекрасна македонска поезија.,"Скршени, набожни","Скршени, набожни – Катица Ќулавкова

Повеќе немаме слобода како
некогаш што сме имале
сме станале сенка
на сенката на животот
јазик кој се заборава
од што не се зборува

лишени од заблуди
од себе лишени
од магијата на првобитната
радост лишени
од право на живот лишени

уморни од закани и од закони
од морање и од морали
од трпење и од трпение

скршени Господе
божем неверни, а набожни
неповратно скршени
совршено скршени
болни на смрт
шушкаме во зборовите

исушеното лисје се рони дребно
сув крш, кршшшшшшшшшш
шшшшшшштттт
пссссссссссссссссттт
————————-



",15
125,Анте Поповски,Денес на блогот ги читаме прекрасните стихови на Анте Поповски. Да читаме македонска поезија!,Ќе ме најдеш,"Ќе ме најдеш – Анте Поповски

Би можел јас и сосема да се осамам,
да бидам еден кој заборавил да чита,
да гледа, да слуша,
да изумам и да ме изуми се,
да се престорам камена плоча,
но ти и под плочата ќе ме најдеш зашто
заклучена си во моето исчезнување.



",26
126,Игор Исаковски,"Денес на блогот читаме прекрасна македонска поезија, денес читаме стихови од неверојатниот Игор Исаковски, кој за жал прерано нѐ напушти!",Племе од двајца,"Племе од двајца – Игор Исаковски

Не е само тој мирис што ме распаметува:
во секоја пора од телото имам по зрно
од твојата суштина – лесно се навлеков
на тебе, на сите твои чудесни магии
кои низ мене прскаат секој еден ден.
зашто ти си: именувана и доживеана
потполно инстинктивно и совршено
точно – во некој само насетен ритуал
ние ја скокнавме иницијацијата
на сите познати племиња.
ние сме племе од двајца,
огнена моја, моја шумо
во која ловам и нè сокривам.
ти ловиш со мене и пред мене:
слушаш подобро, душкаш подобро;
кога ми се приспива, ти ми ја ставаш
главата во скутот. и им шепкаш
на птиците дека твојот љубен спие…
сето тоа го знам. јас сето тоа го знам.
ти го земам телото под своето
и долго, долго те топлам, за врела
да се разбудиш, полна сила
полна сокови од кои ќе се напиеме.
обилно и во тишина, додека птиците
над нашите намирисани тела упорно
нè повикуваат на игра.

25.11.2014, 04:40



",43
127,Матеја Матевски,"Денес на блогот читаме прекрасна македонска поезија, а изборот падна на песната „Езеро“ од Матеја Матевски.",Езеро,"Езеро – Матеја Матевски

По години и сништа многу
повторно се вратив
на езерово
со слатки води
залутано во скутот на ридовите

Дијамантот на сонцето
уште длаби
Не камен на неговото дно
ни трева грло што си крие
под брановите
ни птица грабеж див што носи
Око сум само око на сонцето
што му ги ниша водите
стари

О оставете ме крај ова езеро
оставете ме крај езерово
крај горчливово
оставете ме мртов

(
Извор на сликата
)

",58
128,Ацо Шопов,Денес на блогот читаме прекрасна македонска поезија. Денес изборот падна на „Гледач во пепелта“ од Ацо Шопов.,Гледач во пепелта,"Гледач во пепелта – Ацо Шопов

Изгасни песно во огнот што го запали сама.
Прска зборот и исчезнува во пепел од кремен.
Гледачу во пепелта, ја препозна ли во неа
исконската драма
што доаѓа од дното на овој извор темен.
Песно, те откинав од клунот на птица во крвта
што ми лета,
од црвеното небо на запалените вени,
од тие далноводи на два непомирливи света,
тие изгрејсонца со неодгатнати мени.

Те откинав од гневот на иконите, тие неразбирливи гами,
од громот врз копјето на воинот со камен што е сраснат,
од сонот на тие повисоки што се од сонот што ги мами,
и што се раѓаат пак откако еднаш згаснат.

Сега сме два света, два врага, две завојувани страни,
сега сме војна без излез и кама против кама.
Кој е победен? Кој е победник? Кој е изгрев на
осмислени рани?
Изгасни песно во огнот што го запали сама.







",13
129,Тихомир Јанчовски,Денес на блогот читаме македонска поезија! Изборот падна на „Љубовта умира…“ од Тихомир Јанчовски.,Љубовта умира…,"Љубовта умира… – Тихомир Јанчовски

Љубовта умира
како човек што умира
се разболува, лежи, боледува
бара лек, се надева
се поткрева и пак снеможува
може да се разболи нагло
или болеста полека да напредува
и пред самиот крај, обично
се исправа на нозе и застанува
да засвети со сета сила
од своите убави времиња
изгледа како да оцелела
за потоа да умре, да ја снема
конечно и сосема
најпосле,
човекот кој ја носел
ја погребува во себе
и оплакува

Скоро секој од нас
носи во утробата
едни такви гробишта



",64
130,Блаже Конески,Денес уживајте во прекрасни македонски стихови на едниот и единствен – Блаже Конески!,Спомен,"Спомен – Блаже Конески

Сега си ти стара
и сега си тело клапнато цело,
постанато,
и јас не можам да си простам
што не по твоја вина, ами по своја,
не сум можел да го доближам како што можев
твоето обличје бело.
Твојата снага што се нудела
чудесната снага
како бел облак на сино небо во споменот ми рее,
и сего тоа е минато,
и веќе ништо не е,
и само останал нејасен впечаток
дека си ми била драга.
Сега јас сум стар,
и сега станувам тело клапнато цело, —
и морна те спомнува мојата снага.



",9
131,Петре М,Денес на блогот читаме една прекрасна песна на Петре М. Андреевски!,Сеќавање,"Сеќавање – Петре М. Андреевски

(Пофалба на минатото)

Дали се сеќаваш кога првпат се сретнавме
и кога ме гледаше, правејќи се дека не ме гледаш
и кога јас те гледав, како да не те гледам;
и кога ти реков: Тој што ќе го прашаш за мене
оној е за кого прашуваш
и кога потоа се држевме за раце
како живиот оган што се држи за огништето.

Дали се сеќаваш кога се враќавме дома
и кога, пред да нè наврне дождот, ми рече:
Падна првата капка – почетокот на поплавите,
доаѓа водата што е корен на секој корен,
што е фитил во зрното, во икрата, во ципата
во кои се подготвува светската експлозија.

Дали се сеќаваш кога со едната рака работев,
а со другата те хранев и те милував
и кога ти реков дека прегратката и бакнежот
не ја кажуваат ни половината од мојата љубов;
кога срцата ни грмеа и го заглушуваа светот
и кога ти ми рече, не знам што ми рече
и кога јас ти реков, не знам што ти реков
и кога она што не можев да ти го кажам
беше меѓу моите зборови застанато.

Дали се сеќаваш кога ја отвори вратата,
покажувајќи ми колку е убав надвор денот
и кога јас ти реков дека и дома е убаво
и убаво е секаде кај што ти престојуваш.
Ти рече: Погледни! а мислеше – Те гледам,
јас ти реков: Гледам, а мислев – Ме гледаш,
кога Земјата се преобуваше, се преврзуваше,
кога сè беше јасно во јасното сонце
и качунката на повисоко си ја качуваше воздишката,
што беше несреќна само кога не е со тебе.

Дали се сеќаваш кога се тркаа мотоциклистите,
втрчувајќи и во денот што требаше да дојде,
кога Работнички победуваше во кошарка,
кога небото го задржуваше сонцето
на височината што е еднакво оддалечена од сите,
кога низ кожата ти наѕирав, како низ прозорец
и гледав што се работи во моето село,
кога јули надоаѓаше од секаде до секого,
кога од пологот излетуваше потполошката,
како патоказ на своето беспатје на полето
и кога ме праша: Што мисли јајцето во птицата?
и кога ти реков: А што мисли птицата во јајцето?

Дали се сеќаваш кога ветрот ги диплеше житата
и лицата ни трепереа во водата што ја пиевме
и на времето кога те чекав, кога ме чекаше
и кога те барав, кога ме бараше ко јагулата
што го бара родниот крај на својата смрт,
кога открај докрај ни се отвораше залезот,
кога нашите тела на својата сенка ù сенеа
и ноќта ја мразевме, зашто нè разделуваше,
но таа доаѓаше и празнината си ја пополнуваше
со карбитните ламби и фосфорот што ù светкаше
од очите на мачките, од срцата на светулките.

Дали се сеќаваш на она потоа и потаму,
кога ставаше за вечера, кога чекав да постелиш,
кога ми рече: Легни си!, а мислеше – Дојди!
и кога чу: Ќе дојдам дур да изброиш до сто,
а мислев: Мислам на тоа и ти што го мислиш.
И кога потоа твојот здив ми се доближуваше,
како превез навеан дожд, како пауново перце,
како облаче од испраните алишта што се сушеа;
и кога спиеше и продолжуваше да го калемиш
поубавиот сон на погрдиот
и кога утрото, гледајќи во твоето росно чело,
го препознаваше својот елмаз, своето ведро небо.

Дали се сеќаваш: Тој што го праша за мене,
оној е за кој сè уште прашуваш.



",40
132,Матеја Матевски,"Денес на блогот читаме прекрасна македонска поезија, една прекрасна песна од Матеја Матевски, кој нѐ напушти пред две години.",На пат,"На пат – Матеја Матевски

Ноќва
како затнат оџак
е темна и зачадена.

Маглите се чадат
од прегорените мечти
во душата.

Невидливиот пат е копнежот
залутан
во празната исполнетост
на темнината.

Јас сум
ѕвезда што тлее
и која патот низ ништото
сè уште не ја истрошил.

И ноќта
и патот
и копнежот со мене
се остаток од нешто
што ќе биде.





",58
133,Гане Тодоровски,Секој ден е прекрасен ден за читање македонска поезија. Денес го красиме блогот со убави македонски стихови. Изборот падна на оваа прекрасна песна од Гане Тодоровски.,Ноќ без интерпункција,"Ноќ без интерпункција – Гане Тодоровски

Кон брегот бродиме
Ние, –
осамените патувачи…
Разнишана умората боли!
Бараме начин
повторно да се родиме
повторно
в зорите голи.

А мислите разголени
треперат;
врз кожата на ноќта
немир гребе.
Со кајчето на надежта
се носиме.
ЗОРО
кон тебе,
поникната над клепките
натежнати.

И никој нема сила,
трошка од силата барем
запирка само да стави!

А точките ги мразиме.



",32
